SubjectN,SubjectID,Age,Edu,Gender,Income,SpeededIP,StrategicIP,Percep,Caution,Discount,senseseek,mindful,emot_cont,impuls,goal_dir,rew_sens,risk_per,eat_cont,ethic_risk,soc_risk,fin_risk,agree,Conservatism,SocialConservatism,EconConservatism,Nationalism,Patriotism,IngroupAttitude,SDO,SJ,Authoritarianism,Dogmatism,IH1,IH2,IH3,IH4,IH_Total,ReligiousAttendance,ReligiousPrayer,ReligionImportance,SECS_Abortion_reversed,SECS_WelfareBen_reversed,SECS_LimitedGovt_Warmth,SECS_MilitaryNationalSecurity_Warmth,SECS_Religion_Warmth,SECS_GunOwnership_Warmth,SECS_TraditionalMarriage_Warmth,SECS_TraditionalValues_Warmth,SECS_FiscalResponsibility_Warmth,SECS_Business_Warmth,SECS_FamilyUnit_Warmth,SECS_Patriotism_Warmth,SECS_ParisAgreement_reversed,SECS_SameSexMarriage_reversed,SECS_Democracy_reversed,SECS_MAGA_Warmth,SECS_RestrictingImmigration_Warmth
130,s109,28,6,0,3,-2.083,0.324,1.347,0.762,-0.465,1.674,-0.948,0.628,-0.104,0.291,-0.951,0.685,0.842,-0.345,-0.491,-0.171,1.111,99,64,35,19,19,7,4,26,4,30,23,24,30,27,104,5,7,5,11,2,11,9,9,3,6,7,11,8,11,11,2,1,2,1,5
131,s213,46,4,1,2,0.547,-0.124,0.000,0.024,1.739,-0.861,1.454,1.772,-0.758,0.733,0.585,-0.627,-1.510,-1.015,-0.660,-0.669,1.496,83,57,26,36,35,5,4,43,11,21,25,24,30,23,102,1,1,1,6,2,3,11,1,8,7,10,9,4,11,11,1,1,4,10,10
132,s479,60,5,1,3,1.531,-0.806,0.049,2.530,-0.317,0.000,1.691,1.433,-0.856,0.528,0.847,1.731,-1.353,-1.437,-0.404,-1.355,0.592,122,72,50,38,35,17,5,39,8,35,15,21,29,18,83,2,6,5,7,10,11,11,10,11,11,11,10,8,11,11,7,7,1,10,11
133,s145,27,2,0,2,-0.871,-1.006,-0.367,-1.171,0.642,-1.213,-0.641,-2.144,-0.809,-0.783,-0.176,1.416,0.291,0.785,-1.178,0.698,0.908,54,29,25,18,22,18,4,17,3,33,16,19,24,15,74,1,2,2,6,2,10,6,3,1,1,2,6,6,3,8,2,1,1,1,1
134,s486,52,7,0,4,0.611,1.042,0.865,1.790,0.273,2.442,-0.239,1.989,0.954,-0.363,1.109,0.737,-1.386,1.464,1.017,2.458,0.940,63,39,24,9,7,8,4,13,1,25,23,24,28,13,88,3,6,5,7,2,4,7,7,8,7,4,8,2,6,1,2,7,6,1,1
135,s276,41,5,0,4,1.171,-0.775,-1.562,-0.426,0.582,1.221,1.140,0.638,-1.068,0.967,0.529,0.087,0.736,-0.906,0.212,0.475,-0.662,93,55,38,26,28,9,31,16,3,24,23,17,28,20,88,1,1,1,6,10,9,8,6,1,10,9,11,7,10,6,2,6,2,1,8
136,s375,50,5,0,4,0.042,-0.563,1.196,1.422,0.030,0.521,0.006,0.329,0.512,-0.833,0.025,-0.186,-0.306,-0.701,-0.669,-0.033,-0.924,97,61,36,35,25,13,22,32,7,38,23,23,28,17,91,2,2,2,8,6,8,9,6,6,10,9,10,6,10,9,3,3,1,8,9
137,s254,56,4,1,3,1.098,-0.750,-0.610,1.088,-0.815,-1.609,-0.261,-1.823,1.119,1.420,1.297,1.819,1.194,-0.824,-1.570,-1.366,1.084,96,62,34,24,25,5,8,23,7,36,11,20,25,15,71,1,7,2,6,6,8,10,6,1,10,10,10,9,11,9,1,2,2,1,7
138,s286,34,5,0,2,-1.159,-0.937,0.774,0.631,-1.195,0.617,0.969,0.460,-0.744,1.286,-0.003,0.642,-1.178,-0.284,-0.550,-0.235,1.484,77,46,31,13,23,8,6,25,2,19,17,18,26,26,87,5,6,3,3,2,10,5,9,1,6,6,11,7,8,9,1,1,1,2,1
139,s209,44,3,0,1,0.021,0.361,1.196,-0.796,1.469,-1.406,1.532,1.013,-0.649,0.862,-0.554,0.740,-1.335,-1.322,0.228,-1.032,-0.437,78,38,40,26,18,12,4,33,5,26,25,20,30,19,94,1,1,1,6,8,9,6,6,7,6,4,8,8,4,6,6,6,3,7,7
